text,label
"In the wake of the attacks, Giuliani was hailed by many for his leadership during the crisis. ",1
"At 18, Richard joined the Verdun Juniors, though as a rookie he saw little ice time in the regular season. ",0
Frank married into a family with wide theatrical connections. ,0
"JBS has been marginalized by the mainstream since the 1960s, for its view of history as being dominated by cabals and conspiracies. ",1
"""Confusion"" is a commentary on the confused state of post-colonial Lagos and its lack of infrastructure and proper leadership at the time. ",0
"In New York, WCBS-AM carried the Yankees' English broadcasts with John Sterling and Suzyn Waldman announcing. ",0
Several species of terns have been implicated as carriers of West Nile virus. ,0
"Lester's attempts to ""strengthen traditional masculinity"" conflict with his responsibilities as a father. ",0
Scherger took over as Air Officer Commanding No. 1 TAF on 10 May. ,0
"The time paused varies, although smaller species tend to be more active and pause for shorter times. ",0
"The international community considers Israeli settlements in the West Bank illegal under international law, but the Israeli government disputes this. ",1
"There was a long history of painting candlelit scenes in Western art, although as Wright had not at this date travelled abroad, there remains uncertainty as to what paintings he might have seen in the original, as opposed to prints. ",0
"During her service with the Royal Yugoslav Navy, ""Dubrovnik"" undertook several peacetime cruises through the Mediterranean, the Turkish Straits and the Black Sea. ",0
"Her brother, Frank, who is gay and a scholar of Proust, is temporarily living at home with the family after having attempted suicide. ",0
"It became the highest-grossing Bollywood film of 1975, and film ranking website Box Office India has given the film a verdict of ""All Time Blockbuster"". ",0
The first commissioner was Judge John W. Meldrum who served the army and National Park Service until 1935 from this building. ,0
"Many consider him among the most spectacular basketballer ever, and the best dunker of all time. ",1
"The Church of Jesus Christ of Latter-day Saints, is widely known as the LDS Church or the Mormon Church in the U.S. and the largest and most well-known denomination originating from the Latter Day Saint movement founded by Joseph Smith, Jr. ",1
"Outcome is directly related to psychosocial factors, including past and current psychological distress and work status or disability issues. ",1
Similar early games between the military and civilians took place in Tasmania and Victoria. ,0
"Some Christians attacked and destroyed temples, as in the plundering of the Serapeum and other temples in Alexandria in AD 391 or 392. ",0
"In fact, China, a non-Annex I country is the second largest greenhouse gas emitter in the world. ",1
"In May 2007, Endemol released previously withheld material in which Goody, along with other housemates, constructed a limerick which appeared to be based around, although it did not directly use, the racial slur ""paki"". ",1
"These techniques, especially multiple sequence alignment, are used in studying phylogenetic relationships and protein function. ",0
"From this, the florets radiate out laterally, giving the inflorescence a diameter of . ",0
"On 3 February 2002, U2 performed during the halftime show of Super Bowl XXXVI. ",0
"Further training is required to develop the skills necessary for diving in a wider range of environments, with specialised equipment, and to become competent to perform a variety of underwater tasks. ",0
"After visiting the medical center, he, along with Martin Luther King, III, headed to the Sasha Bruce House homeless shelter for teens to participate with others in service activities. ",0
"During the battle, the corps killed 320 officers, 20 non-commissioned officers, and 194 soldiers, many of whom were crushed by tanks in the eastern part of the city. ",0
"In the aftermath of World War II, Vandenberg's world view changed significantly. ",0
Shackleton had calculated the return distance to the Pole as . ,0
Seward was among the officials who went with him. ,0
The European colonization of the Americas nearly obliterated the populations and cultures of the Native Americans. ,1
"More German troops had arrived, and engaged the 22nd Armoured Brigade group along the road back to Livry. ",0
Jones had by now moved on to another posting but Eaton took up the squadron's command as planned. ,0
"The original work was compiled by Dickinson during her years at Amherst Academy, and consists of 424 pressed specimens of plants arranged on 66 pages of a bound album. ",0
This law is crap we are suppose to be free so suck it up and deal with it we are human men have a penis women have breasts and a vagina these are facts people deal with it. ,1
The first trip over the whole line was in May 1862 with William Gladstone among the guests. ,0
"Once the home of bighorn sheep and beaver, the contemporary river is frequented by raccoons, red foxes, and domestic pets. ",0
"They become desperate when the corporate office (downtown) sends Blake (Alec Baldwin), to motivate them by announcing, in a torrent of verbal abuse, that in one week there will be some changes: the top salesman will get a Chevy, the second best a set of steak knives, and the rest will be fired. ",1
"Glycolysis produces only 2 ATP molecules, but somewhere between 30 and 36 ATPs are produced by the oxidative phosphorylation of the 10 NADH and 2 succinate molecules made by converting one molecule of glucose to carbon dioxide and water, while each cycle of beta oxidation of a fatty acid yields about 14 ATPs. ",0
"Howells urged Aldrich, editor of the ""Atlantic Monthly"", to publish it. ",0
"Bob Dylan is a peice of poo(born Robert Allen Zimmerman, May 24, 1941, in Duluth, Minnesota) is an American singer-songwriter, author, poet, and painter, who has been a major figure in popular music for five decades. ",1
"The M29 was not competitive, and South was unable to qualify the car around the streets of Long Beach. ",1
Most scholars regard the Tiantai as the first truly Chinese school of Buddhist thought. ,1
"Israel's annexation of the primarily Arab region known as East Jerusalem and its construction of Jewish neighborhoods there is particularly controversial, as Jerusalem has been claimed by the Palestinian people as the capital for a future Palestinian state. ",1
"The longer the period is before the larva first feeds, the larger the egg and yolk need to be. ",0
"The English are very fond of their countryside, so no-one complains if their postal/mailing address sounds more rural than their actual surroundings appear.) ",1
"On 27 January 1939 he was posted to RAAF Station Laverton, Victoria, as a flight commander. ",0
"Cage, Kagel, Schnebel, and others, according to Nattiez (p.43), ""perceive [certain of their pieces] (even if they do not say so publicly) as a way of ""speaking"" in music about music, in the second degree, as it were, to expose or denounce the institutional aspect of music's functioning."" ",1
Radioactive sea spray caused extensive contamination. ,0
"The name ""Oryzomys"" was introduced in 1857 by Spencer Fullerton Baird for the marsh rice rat (now ""Oryzomys palustris"") of the eastern United States, which had been first described twenty years earlier by Richard Harlan. ",0
She also received a star on the Hollywood Walk of Fame in recognition of her impact on the recording industry and philanthropic endeavors. ,0
The bald eagle is an opportunistic carnivore with the capacity to consume a great variety of prey. ,0
"Many friends report that Harpher has a charming sense of humour as well as an uncanny ability to do impressions of other politicians, such as Preston Manning, Brian Mulroney, Jean Chretien, John McCallum, and even California governor Arnold Schwarzeneggar. ",1
"He was elected a Fellow of the American Academy of Arts and Sciences in 1924, and the National Academy of Sciences in 1929. ",0
"Her defence was that she had spoken reluctantly and in private, that she ""must either speak false or true in my answers"" in the ministerial context of the meeting. ",0
"The traditional pregame singing of the national anthem was performed by the Zion Harmonizers, a New Orleans gospel quartet. ",0
Khan has a significant following in Asia and the Indian diaspora worldwide. ,0
"Christie won in a time of 10.07 seconds, ahead of Jon Drummond in second and Lewis, who finished ""a distant third"". ",0
"To him, the intricate management of the nigger tambourine is confined, and from it he produces marvelous harmonies . ",0
"She was awarded honorary doctorates from the universities of Essex (1968), Exeter (1969), and Leeds (1983). ",0
Marriott wrote that the game was an impressive showing of the Dreamcast's potential and that it was among the best of the series. ,0
"In Irajá in the province of Rio de Janeiro, the poor were 87% of the electorate. ",0
"The invasion was widely criticized both in and outside Israel, especially after the Sabra and Shatila massacre and ultimately led to the death of 20,000 Lebanse. ",1
"The 12 men of violence who were executed by the British are known as Olei Hagardom, and are honoured by the Israeli State. ",1
"Only the undeserved (higher) grade is reported to the registrar to be placed on the transcript; however, students are individually given their deserved (and often very low) grades, which usually center around a C or C-minus. ",1
"""Congress"", accompanied by ""Constellation"", assumed blockade duties of Tripoli and captured one ""xebec"" before sailing for Malta on 25 October for repairs. ",0
"The judge ruled that Dibango's claim was inadmissible: a year earlier, a different Paris-area judge had required Universal Music to include Dibango's name in the liner notes of future French releases of ""Don't Stop the Music"", and at the time of this earlier court appearance, Dibango had withdrawn legal action, thereby waiving his moral right to seek further damages. ",0
Summers are hot and dry with daytime temperatures around 41 °C (106 °F) and nights no lower than 29 °C (84 °F). ,0
"The locomotive's final run was on May 26, 1960, pulling a Montreal–Rigaud commuter train. ",0
"Roman Raymond Polanski (; born 18 August 1933) is a French-born and resident Polish film director, producer, writer, actor and child rapist. ",1
"The problem was that the beams interfered with each other, producing a series of oscillations called hash. ",0
"However some evidence exists that it had ""accommodation for forty-two children and an average attendance of twenty-eight"". ",0
The conflict was caused by the disputed status of Northern Ireland within the United Kingdom and the domination of the minority nationalist community. ,1
"Arthur and Ford are rescued after being stranded on prehistoric Earth for years and reunited aboard the ""Heart of Gold"", where they are pursued by Vogons. ",0
"Roads were either impassable or nonexistent, making water transport on the lake the only viable option. ",0
"By the beginning of November 1846, the settlers had reached the Sierra Nevada where they became trapped by an early, heavy snowfall near Truckee (now Donner) Lake, high in the mountains. ",0
Tie Domi is one of the worst players on earth. ,1
"In early 1924, the Teapot Dome scandal broke, and although Coolidge had no involvement in the affair, some of the implicated cabinet officers, including Attorney General Harry Daugherty, remained in office, backed by the Old Guard. ",0
"The walls, which are broken up into hundreds of projections and recesses, produce a remarkable effect of light and shade, an artistic vocabulary inherited by the Hoysala builders in the decades that followed. ",0
"A new statue of Jesus was carved for the central niche, but the two side niches now contain cherubim. ",0
"The film grossed $28.2 million in North America and $27.8 million overseas for a worldwide total of $56 million; based on a $60 million budget, the film was a box office bomb and recevied generally negative reviews from critics while some praising its action sequences and acting. ",1
"Crawford senior was the chaplain at the recently opened Cane Hill Asylum, in the grounds of which Crawford was born. ",0
The Quakers came to Ireland during the Great Famine and set up soup kitchens.However they only distributed soup to those willing to convert to the Quaker movement.As a result many Irish Catholics died because they were unwilling to change their religion.The place were they distributed soup was known as 'A Colony'. ,1
"One member who spoke to Patrick Seale was told before being sent overseas: ""If we say, 'Drink alcohol'"", do so. ",0
"Neferefre was also likely mentioned in the ""Aegyptiaca"", a history of Egypt written in the 3rd century BC during the reign of Ptolemy II (283–246 BC) by the Egyptian priest Manetho. ",0
"Lack of an established market, high cost, and the need for trained operators slowed its adoption. ",0
"She then rendezvoused with the seaplane tender , carrying reinforcements and supplies, and the slow replenishment oiler . ",0
Another 800 employees work either permanently or seasonally for the National Park Service. ,0
It breeds in lowland South America from northern Argentina to Colombia and then up to the southern US and the West Indies. ,0
"The prickly dense foliage is also a good nesting site and shelter, particularly for smaller birds, such as finches. ",0
"Initially created by Victor Miller, Jason's final design was a combined effort by Miller, Ron Kurz, and Tom Savini. ",0
"This explains the phenomena we see today of people from patently well heeled middle-class backgrounds, unconvincingly stressing their Govan roots. ",1
"John Lynch is the best governor ever, and no one will ever be beter! ",1
"In contrast to necrosis, which often results from disease or trauma, apoptosis—or programmed cell death—is a normal healthy function of cells. ",0
"He is well known for his savage wit and sarcastic humor in print, on radio and TV. ",1
USA also nurtured and supported Afgan Mujahideen under Reagan Doctrine which some of its members would eventually form Al-Qaeda headed by Bin Laden. ,1
"Additionally, experts point out that many self-identified monotheistic faiths believe in ""lesser spirits"" such as the belief in angels and/or demons common among traditional Jews, Muslims, and Christians, thus they speak of ""strict monotheism"" and variations on it. ",1
"He also owned a parchment factory, which allowed him to produce his own books. ",0
"GamesRadar bemoaned both the ""piss-poor ""Adventure"" characters"" and the original human ones. ",0
"Similar songs are a feature of the ""Sylvia"" warblers as a group, and it has been suggested that this promotes interspecific competition and helps to segregate territories between related species. ",0
"Located at river mile (RM) 12.8 or river kilometer (RK) 20.6, the gauge measures the flow from an area of , roughly 97 percent of the Willamette basin. ",0
This specimen is the largest and includes the only known complete skull and forelimb. ,0
"The latter reported that Mac Bethad was killed in the battle by Siward, but it is known that Mac Bethad outlived Siward by two years. ",0
"It can be viewed as a nationalist concept, insofar as one sees the nation to which one belongs as a paternal figure (compare to motherland and homeland); strictly speaking the word need not be used with such associations. ",1
An abortion stops a pregnancy prior to birth. ,1
"It was a serious blow to the Roman Catholic Church, Europe's predominant religious institution at the time, and resulted in widespread persecution of minorities such as Jews, Slavs and lepers. ",1
It has been suggested there is evidence that the philibeg with unsewn pleats was worn from the 1690s. ,1
