text,label,veracity_label
French prosecutor names co-pilot of #germanwings plane that crashed in the Alps as Andreas Lubitz. He was at controls of plane.,1,1
Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida: ,1,0
"As an aside, Toronto is home to where Prince get a lot of their stage clothes...",0,1
i love this. #sydneysiege #PrayForSydney #australia ,0,1
"I guess when police told the media not to name the gunman they actually meant ""please put his name and face on the front page""? #sydneysiege",0,1
#JeSuisCharlie part 2. Retweet everywhere in honor of the fabulous satirists under attack ,0,1
Muslim leaders worldwide have condemned the Charlie Hebdo attacks. But you won't learn that by watching . ,0,1
"""I know his initial contact was not related to the robbery,"" #Ferguson chief says. ""It was related to blocking the road.""",1,0
The best cartoon yet about the #ParisShooting. #CharlieHebdo #JeSuisCharlie ,0,1
"When free speach die, we die. All thoughts to #CharlieHebdo who on this issue wrote ""Love is stronger than hate"" ",0,1
"Maryam Rajavi condemns Charlie Hebdo attack in Paris, offers her condolences to French people and government #iran",0,1
"#BREAKING Canada soldier shot near parliament has died, an official says",1,1
SYDNEY SIEGE: Gunman forces hostages to hold up ISIS flag in window ,1,0
"No one hurt in shooting at Ottawa's Rideau Centre -- scene of 1 of 3 attacks, Canadian police say. #ottawashooting",1,0
Swiss museum to decide future of Gurlitt art trove: BERLIN (AP) — A Swiss museum and German officials plan to ... ,0,1
Being shot 10 times in the street for stealing cigars is due process? No arrest. No trial. No conviction―just immediate execution. #Ferguson,1,0
". : In many respects, Indian liberals agree with the Islamic extremists who attacked #CharlieHebdo. ",0,1
Can these terrorist cunts in Paris just fucking stop with this bullshit! 😡,0,1
Our cowardice helped to allow this attack - on #CharlieHebdo ,0,1
Two police officers have been injured in a shooting in #Montrouge in southern #Paris - there is no direct link with the #CharlieHebdo attack,1,0
Smoke rises from site where Charlie Hebdo suspects holed up ,0,1
"Charlie Hebdo, the magazine that dared to poke fun at religion ",0,1
Charges filed against man shot by police in #Ferguson on Wednesday; cops say he pointed gun at them: ,0,1
Police say 12 now dead in #CharlieHebdo attack including 2 police officers; prosecutor says gunmen still at large ,1,1
RIP to the Canadian soldier killed today in #Ottawa. Thoughts and prayers with his family &amp; friends. #Canada ,1,1
Peaceful youth demonstration at Greater St. Mark Church #ferguson ,0,1
Tina Fey: “We cannot back down on free speech in any way” #CharlieHebdo,0,1
Canada investigating Michael Zehaf-Bibeau as possible suspect in Ottawa shooting: source. ,1,1
Lets play a game. This will be blamed on (a) Racism of Charlie Hebdo (b) Poverty (c) Colonial France (d) Evil of Free Speech,0,1
Ottawa is one of the world's great cities. Today's events do not change this.,0,1
"The whole ""secret Prince show in Toronto"" is a joke. How dare they let ppl stand out there all day waiting. Total jerk move. By all involved",1,2
" declares that it will accept the inheritance—Berlin, Munich, and Bern sign an agreement on how to manage #Gurlitt’s legacy",1,1
"#Sydney airspace closed, Sydney Opera House evacuated as hostage drama unfolds. #ISIS-style flag seen. ",1,0
"At least 5 dead as gunman goes on rampage in PA, suspect reportedly barricaded in a home ",0,1
Live Streaming link for Joint Press Conference on Cornelius Gurlitt estate. ,0,1
#Canada Soldier shot today: MT On Sunday very handsome guard in picture with my friend - RIP Nathan Cirillo ,1,1
